1957,Dennis Posey,Walter Bowden,R. Dorchester
1958,Walter Bowden,Logan Goar,Mark Coholan
1959,Logan Goar,Walter Bowden,Schildecker
1960,Henry Schefter,John Isbister,John Marshall
1961,Logan Goar,R. Dorchester,H. Hornridge
1962,Henry Schefter,,
1963,Henry Schefter,Chris Gasparich,Eric Olsen
1964,Henry Schefter,Dennis Surtees,D. Ebergardt
1965,John Marshall,,
1966,Dennis Surtees,,
1967,Bill Healey,Volkmar Neudoerffer,John Marshall
1968,John Norheim / Warren Wheaton,Arthur Lewis,Ray Pingrey / P. Vandenberg
1969,Dennis Surtees / Dave Vickland,David Court-Hampton / Phil Tillman,Bill Pevear / Peter Bevins
1970,Dennis Surtees / Dave Vickland,Doug Truscott / Jacky Truscott,Dick Deaver / Dave Beck
1971,Dennis Surtees / Pip Pearson,Ki Kaiser / Marv Schaeffer,A. Hammerstrom / H. Hammerstrom
1972,Dennis Surtees / Pip Pearson,Jim McElveen / Lloyd Betz,S. Van Zandt / P. Doherty
1973,Greg Lawson / Bill Ball,Jeff Brauch / Dan Downing,Jeff Miller / Bob Sutton
1974,Hank Jotz / Mark Heckman,Dave Zanks / Chip Robeson,Phil Leitch / Salisbury
1975,Bob McNeil / Jon Andron,Hank Jotz / Bob Sutton,Sally Lindsay / Mark Lindsay
1976,Ethan Bixby / Larry Tuttle,Sally Lindsay / Mark Lindsay,Steve Taylor / Chad Shope
1977,Jeff Brauch / Gary Beck,Bates McKee / Jonathan McKee,Bram Dally / Kevin Ellis
1978,Sally Lindsay / Mark Lindsay,Ethan Bixby / Larry Rosenfeld,Steve Taylor / Dave Penfield
1979,Steve Benjamin / Tucker Edmundson,Jon Andron / Howard Hamlin,B. Bainbridge / Mark Lindsay
1980,Jeff Brauch / Gary Beck,Jeff Miller / Tom Poore,Ethan Bixby Cam Lewis
1981,Steve Benjamin / Tucker Edmundson,Jon Andron / Howard Hamlin,B. Bainbridge / Mark Lindsay
1982,Jeff Miller / Tom Poore,Sally Lindsay / Stan Honey,J.B. Braun / Bill Kenney
1983,Macy Nelson / Duncan Skinner,Jim Wondolleck / Jay Kuncl,Tom Poore / Stuart Park
1984,J.B. Braun / Bill Kenney,Neal Fowler / Mark Lindsay,Gary Bodie / D. Skinner
1985,Carol Buchan / Carl Buchan,J.B. Braun / Bill Kenney,Jim Maloney / John Gilmour
1986,Jonathan McKee / Charlie McKee,Carol Buchan / Carl Buchan,Bruce Ayres / Don Ayres
1987,Ethan Bixby / Cam Lewis,J.B. Braun / Bill Kenney,Jim Wondolleck / John Gilmour
1988,Jeff Miller / Bruce Heckman,Tom Poore / Stuart Park,Mike Punnet / Scott Ikle
1989,Ethan Bixby / Cam Lewis,Macy Nelson / Mike Martin,Mike Punnet / Scott Ikle
1990,Howard Hamlin / Steve Rosenberg,Jeff Miller / Bruce Heckman,Ethan Bixby / Cam Lewis
1991,Jeff Miller / Maloney,Dave Dyson / Peter Alarie,Jeff Boyd / Martin tenHove
1992,Howard Hamlin / Cam Lewis,Bruce Edwards / Dave Shelton,Jurgen Schonher / Mike Poulsen
1993,USA Macy Nelson / Peter Alarie,"USA Alexander ""Ali"" Meller / John Fry",USA Mike Punnet / Scott Iklé
1994,USA Macy Nelson / Peter Alarie,CAN Jeff Boyd / A. Tenhove,"USA Alexander ""Ali"" Meller / Allan Johnson"
1995,CAN Robin Brown / Dave Thomas,USA Howard Hamlin / Mike Martin,"USA Alexander ""Ali"" Meller / John Fry"
1996,USA Howard Hamlin / Mike Martin,USA Tyler Moore / Scott Iklé,"USA Alexander ""Ali"" Meller / Allan Johnson"
1997,USA Mike Zani / Peter Alarie,USA Howard Hamlin / Mike Martin,USA Nick Trotman / Mike Mills
1998,USA Mike Mills / Nick Trotman,USA Mike Zani / Niemcy / Mark Upton-Brown,
