1973,SUN Ain Vilde,USA Randy Johnson,USA Jan Gougeon
1974,USA Tim Woodhouse,SUN Endel Voorema,SUN Vello Kuunsk
1975,USA Jan Gougeon,USA J. R. Watson,USA Tim Woodhouse
1976,POL Romuald Knasiecki,POL Zbigniew Stanisławski,USA Ed Kraft
1977,USA Henry Bossett,POL Zbigniew Stanisławski,USA Jan Gougeon
1978,POL Bogdan Kramer,SUN Endel Voorema,SUN Vello Kuunsk
1979,POL Piotr Burczyński,BRD Harald Stuertz,POL Stanisław Macur
1980,SUN Mati Kuulmann,SUN Ain Vilde,SUN Vello Kuunsk
1981,USA Henry Bossett,USA Jan Gougeon,POL Piotr Burczyński
1982,USA Jan Gougeon,USA Ron Sherry,SUN Vaiko Voorema
1983,POL Piotr Burczyński,POL Stanisław Macur,USA Ron Sherry
1984,SUN Tilt Haagma,SUN Vaiko Voorema,SUN Mati Kuulmann
1985,,USA Mike O'Brien,POL Bogdan Kramer
1987,USA Mike O'Brien,USA Henry Bossett,POL Stanisław Macur
1988,USA Mike O'Brien,POL Piotr Burczyński,BRD Andreas Bock
1989,USA Mike O'Brien,EST Tilt Haagma,USA Jan Gougeon
1990,POL Władysław Stefanowicz,SUN Vaiko Voorema,SUN Rene Kuulmann
1991,USA Jan Gougeon,USA Ron Sherry,USA Henry Bossett
1992,POL Karol Jabłoński,USA Peter Hill,USA Ron Sherry
1993,USA Jeff Kent,POL Karol Jabłoński,USA Ron Sherry
1994,DEU Andreas Bock,POL Karol Jabłoński,DEU Bernd Zeiger
1995,POL Karol Jabłoński,POL Piotr Burczyński,USA Mike O'Brien
1996,POL Karol Jabłoński,SWE Thomas Karlsson,SWE Stefan Jarudd
1997,POL Karol Jabłoński,USA Ron Sherry,DEU Bernd Zeiger
1998,USA Ron Sherry,NED Daan Schutte,POL Piotr Burczyński
1999,USA Ron Sherry,DEU Bernd Zeiger,POL Michał Burczyński
2000,POL Karol Jabłoński,USA Ron Sherry,SWE Ake Luks
2001,POL Karol Jabłoński,DEU Bernd Zeiger,DEU Thomas Gross
2002,USA Ron Sherry,POL Karol Jabłoński,POL Michał Burczyński
2003,POL Karol Jabłoński,SWE Thomas Karlsson,USA Ron Sherry
2004,SWE Thomas Karlsson,POL Karol Jabłoński,USA Ron Sherry
2005,USA Ron Sherry,SWE Tomas Lindgren,USA Matt Struble
2006,POL Michał Burczyński,POL Łukasz Zakrzewski,USA Matt Struble
2007,USA Matt Struble,SWE Tomas Lindgren,DEU Bernd Zeiger
2008,USA Matt Struble,POL Łukasz Zakrzewski,DEU Andreas Bock
2009,USA Matt Struble,USA Ron Sherry,DEU Bernd Zeiger
2010,POL Michał Burczyński,POL Adam Baranowski,POL Łukasz Zakrzewski
2011,USA Ron Sherry,POL Michał Burczyński,POL Łukasz Zakrzewski
2012,POL Tomasz Zakrzewski,EST Karl-Hannes Tagu,DEN Hans Ebler
2013,POL Tomasz Zakrzewski,POL Robert Graczyk,USA John Dennis
2014,POL Karol Jabłoński,POL Michał Burczyński,POL Tomasz Zakrzewski
2015,POL Karol Jabłoński,POL Robert Graczyk,POL Michał Burczyński
2016,POL Karol Jabłoński,POL Michał Burczyński,EST Vaiko Voorema
2017,POL Karol Jabłoński,USA Matt Struble,POL Michał Burczyński
2018,POL Karol Jabłoński,POL Robert Graczyk,POL Łukasz Zakrzewski
2019,POL Michał Burczyński,POL Jarosław Radzki,POL Tomasz Zakrzewski
2020,POL Łukasz Zakrzewski,POL Karol Jabłoński,RUS Anton Didenko
2022,POL Robert Graczyk,HUN Peter Hamrak,SWE Oskar Svensson
2023,USA Matt Struble,POL Karol Jabłoński,POL Łukasz Zakrzewski,
