1953,USA Jack Moran
1954,USA Jack Moran
1955,USA Bill Sporer
1956,USA Ed Grant
1957,USA Skip Boston
1958,USA Remi DeBlaere
1959,USA Skip Boston
1960,USA Jane Pegel
1961,USA Jack Young
1962,USA Reuben Snodgrass
1963,USA Jane Pegel
1964,USA Skip Boston
1965,USA Ed Grant
1966,USA Ro Redner
1967,USA Ro Redner
1968,USA Gene Treuter
1969,USA Jack Wesenberg
1970,USA Tim Woodhouse
1971,USA Jan Gougeon
1972,USA Jan Gougeon
1973,USA Tim Woodhouse
1974,USA Tim Woodhouse
1975,SUN Vello Kuusk
1976,USA Jan Gougeon
1977,USA John Schuck
1978,USA Ed Kraft
1979,POL Piotr Burczyński
1980,USA Meade Gougeon
1981,USA Jan Gougeon
1982,USA Henry Bossett
1983,USA Henry Bossett
1984,USA J. Koeck
1986,USA Jan Gougeon
1987,USA Mike O’Brian
1988,USA Jan Gougeon
1989,USA Ron Sherry
1990,USA Henry Bossett
1991,USA Ron Sherry
1992,USA Ron Sherry
1993,USA Henry Bossett
1994,USA Jan Gougeon
1995,POL Karol Jabłoński
1996,USA Ken Van Wagnen,USA Cliff Cartwright,USA Ron Sherry
1997,USA Meade Gougeon,POL Piotr Burczyński,POL Karol Jabłoński
1998,USA Gregory Smith,USA Mike O'Brien,USA John Harper
1999,USA Ron Sherry,POL Karol Jabłoński ,SWE Tomas Lindgren
2000,USA Jan Gougeon,USA John Harper,USA J. Bruce Williams
2001,POL Karol Jabłoński,USA Ron Sherry,USA Gregory Smith
2002,USA Ron Sherry,USA Gregory Smith,USA Matt Struble
2003,USA Ron Sherry,POL Michał Burczyński,USA John Davenport
2004,USA John Dennis,USA John Harper,USA Jan Gougeon
2005,USA Matt Struble,USA John Harper,USA John Dennis
2006,USA Ron Sherry,USA Matt Struble,USA John Dennis
2007,USA Matt Struble,SWE Tomas Lindgren,GER Bernd Zeiger
2008,USA Matt Struble,USA John Dennis,USA Ron Sherry
2009,USA Ron Sherry,USA Matt Struble,USA Dan (S) Backlund
2010,USA Ron Sherry,USA Matt Struble,USA Steve Orlebek
2012,USA Ron Sherry,USA John Dennis,USA Matt Struble
2013,USA Ron Sherry,USA Ron Sherry,USA James Thieler
2014,USA Ron Sherry,USA Mark Christensen,USA Steve Orlebeke
2016,USA Matt Struble,USA Ron Sherry,USA Jmes Thieler
2017,USA Ron Sherry,POL Michał Burczyński,USA Matt Struble
2018,USA Ron Sherry,USA John Dennis,USA Steve Orlebeke
2019,USA Ron Sherry,POL Michał Burczyński,POL Tomasz Zakrzewski
2020,USA James "T" Thieler,USA Ron Sherry,USA Chad Atkins
