1967,Romuald Rowecki,Romuald Solnik,Andrzej Groński
1968,Andrzej Stopa,Romuald Rowecki,Władysław Bredziński
1969,Edmund Januszewski,Jarosław Wyrzykowski,Piotr Burczyński
1970,Janusz Januszewski,Piotr Burczyński,Romuald Solnik
1971,Jerzy Lomper,Piotr Burczyński,Janusz Januszewski
1972,Stanisław Macur,Janusz Januszewski,Henryk Maląg
1973,Edmund Januszewski,Zbigniew Nawrocki,Marian Bełbot
1974,Wiesław Bracław,Bogdan Kramer,Stanisław Macur
1975,Piotr Burczyński,Stanisław Macur,Zbigniew Stanisławski
1976,Piotr Burczyński,Bogdan Kramer,Zdzisław Prot
1977,Piotr Burczyński,Wiesław Marcińczyk,Bogdan Kramer
1978,Bogdan Kramer,Zbigniew Stanisławski,
1979,Zbigniew Stanisławski,Piotr Burczyński,Andrzej Dalecki
1980,Stanisław Macur,Bogdan Kramer,Piotr Burczyński
1981,Bogdan Kramer,Andrzej Dalecki,Ryszard Harmol
1982,Piotr Burczyński,Wojciech Nowicki,Wiesław Marcińczyk
1983,Bogdan Kramer,Piotr Burczyński,Karol Jabłoński
1984,Karol Jabłoński,Piotr Burczyński,Stanisław Macur
1985,Stanisław Macur,Karol Jabłoński,Władysław Stefanowicz
1986,Piotr Burczyński,Stanisław Macur,Karol Jabłoński
1987,Piotr Burczyński,Wiesław Marcińczyk,Stanisław Macur
1988,Władysław Stefanowicz,Andrzej Dalecki,Janusz Pietrzak
1989,,,
1990,,,
1991,Karol Jabłoński,Piotr Burczyński,Władysław Stefanowicz
1992,Piotr Burczyński,,
1993,Stanisław Macur,Wiesław Marcińczyk,Wojciech Nowicki
1994,Karol Jabłoński,Stanisław Macur,Władysław Stefanowicz
1995,,,
1996,Karol Jabłoński,Bogdan Kramer,Paweł Burczyński
1997,Piotr Burczyński,Dariusz Kardaś,Karol Jabłoński
1998,Michał Burczyński,Tomasz Gorszczaruk,Adam Szczęsny
1999,,,
2000,Karol Jabłoński,Michał Burczyński,Dariusz Kardaś
2001,Andrzej Dalecki,Wiesław Marcińczyk,Karol Jabłoński
2002,Michał Burczyński,Karol Jabłoński,Jakob Schneider
2003,Michał Burczyński,Karol Jabłoński,Jakob Schneider
2004,Karol Jabłoński,Michał Burczyński,Andrzej Dalecki
2005,Karol Jabłoński,Michał Burczyński,Andrzej Dalecki
2006,Michał Burczyński,Paweł Burczyński,
2007,Tomasz Zakrzewski,Jarosław Radzki,Paweł Burczyński
2008,Michał Burczyński,Adam Baranowski,Tomasz Zakrzewski
2009,Michał Burczyński,Adam Baranowski,Robert Graczyk
2010,Dariusz Kardaś,Adam Baranowski,Michał Burczyński
2011,Karol Jabłoński,Robert Graczyk,Łukasz Zakrzewski
2012,Karol Jabłoński,Robert Graczyk,Łukasz Zakrzewski
2013,Tomasz Zakrzewski,Michał Burczyński,Łukasz Zakrzewski
2014,Michał Burczyński,Karol Jabłoński,Tomasz Zakrzewski
2015,Karol Jabłoński,Dariusz Kardaś,Paweł Burczyński
2016,,,
2017,Karol Jabłoński,Tomasz Zakrzewski,Maciej Żarnowski
2018,Michał Burczyński,Karol Jabłoński,Łukasz Zakrzewski
2019,Robert Graczyk,Łukasz Zakrzewski,Tomasz Zakrzewski
2020,,,
2021,Tomasz Zakrzewski,Jarosław Radzki,Karol Jabłoński
