2003,Żywiec,POL Romuald Knasiecki,POL Paweł Tarnowski,POL Włodzimierz Radwaniecki
2004,Tałty,POL Paweł Tarnowski/POL Damian Woroch/POL Marek Chruściel,POL Włodzimierz Radwaniecki/POL Maciej Felski/POL Piotr Kucharski,POL Oskar Śledziona/POL Ewelina Jakubowska/POL Mateusz Szulakowski
2005,Chełm Śląski,POL Jerzy Nadolny,POL Romuald Knasiecki,POL Kamil Stęplowski
2006,Kamień Pomorski,POL Paweł Tarnowski/POL Damian Woroch/POL Marek Chruściel,POL Romuald Knasiecki/POL Alicja Knasiecka/POL Sebastian Knasiecki,POL Artur Bieguński/POL Zbigniew Bieguński/POL Jarosław Macewicz
2007,Żywiec,POL Robert Kresło,POL Paweł Drobik,POL Jerzy Nadolnu
2008,Kamień Pomorski,POL Janusz Kordek/POL Cezary Miadziołko/POL Jarosław Borowy,POL Adam Baranowski/POL Tomasz Leszczyński/POL Dominik Zacharewicz,POL Romuald Knasiecki/POL Sebastian Knasiecki/POL Tomasz Knasiecki
2009,Górki Zachodnie,POL Tomasz Januszewski,POL Janusz Kordek,POL Aleksander Fereniec
2010,Puck,POL Aleksander Fereniec,POL Tymon Sadowski,POL Michał Strumik
2011,Sława,POL Tymon Sadowski/POL Karol Dołęga/POL Michał Wojtowicz,POL Janusz Kordek/POL Jarosław Borowy/POL Cezary Miadziołko,POL Jerzy Nadolny/POL Marek Wołoszyn/POL Witold Urbański/
2012,Puck,POL Tymon Sadowski/POL Kacper Olszewski/POL Jacek Zalewski,POL Kamil Ortyl/POL Robert Zawadowicz/POL Marek Gozłowski,POL Filip Pietrzak/POL Patryk Richter/POL Tomasz Riemer
2013,Puck,POL Tymon Sadowski/Jacek Zalewski/Kacper Olszewski,POL Janusz Kordek/Michał Wysocki/Paweł Wysocki,POL Tomasz Micewicz/Michał Pielaszkiewicz/Marcin Panek
2014,Goczałkowice-Zdrój,POL Krzysztof Małecki/Patryk Wojtkiewicz/Bartłomiej Banasik,POL Kamil Ortyl/Robert Zawadowicz/Michał Gajda,POL Patryk Richter/Jakub Surowiec/Marek Zalewski
2015,Puck,POL Patryk Richter,POL Wiktor Czałbowski,POL Tomasz Micewicz
2016,Puck,POL Kamil Ortyl/Marek Gozłowski/Robert Zawadowicz,POL Tomasz Micewicz/Maciej Chatłas/Jan Walczak,POL Michał Ruciński/Patryk Płotka/Piotr Małecki
2017,Puck,POL Kamil Ortyl/Marek Gozłowski/Robert Zawadowicz,POL Patryk Richter/Marek Zalewski/Mikołaj Gielniak,POL Wiktor Czałbowski/Patryk Płotka/Jan Walczak
2018,Goczałkowice-Zdrój,POL Igor Tarasiuk/Izabela Satrjan/Bartosz Sadowski,POL Daniel Sokołowski/Mieszko Mórawski/Piotr Inglot,POL Kamil Ortyl/Robert Zawadowicz/Michał Wojtowicz
2019,Dąbrowa Górnicza,POL Marcin Styborski/Jan Krasodomski/Dawid Płotka,POL Daniel Sokołowski/Mieszko Mórawski/Piotr Inglot,POL Paweł Kalota/Jakub Wróblewski/ Marek Wąsowski
2020,Krynica Morska,POL Marcin Styborski/Jan Krasodomski/Dawid Płotka,POL Kamil Ortyl/Marek Gozłowski/Robert Zawadowicz,POL Daniel Sokołowski/Mieszko Mórawski/Piotr Inglot
