Mce,Nr_żagl,Sternik,Załogant 1,Załogant 2,Klub,Punkty,4,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,
1,503,Małecki Krzysztof,Wojtkiewicz Patryk,Banasik Bartłomiej,Błękitny Piotruś,14,0,3,1,-8,2,4,2,2, 
2,154,Ortyl Kamil,Zawadowicz Robert,Gajda Michał,Vector Sails Gdańsk,17,0,2,2,-12,1,1,3,8, 
3,277,Richter Patryk,Surowiec Jakub,Zalewski Marek,AZS Politechnika Gdańska,18,0,1,6,3,(dsq),2,5,1, 
4,215,Ruciński Michał,Kiczko Kryatyna,Małecki Piotr,Mipro AKM Gdańsk,20,0,5,3,2,-6,6,1,3, 
5,104,Kordek Janusz,Wołoszyn Marek,Chruściel Marek,LKŻ Sława,31,0,9,7,1,-10,3,4,7, 
6,261,Szynkiewicz Andrzej,Mirosław Górski,Sutkowski Piotr,Orwaldi Sailing Team,45,0,4,-11,7,3,9,11,11, 
7,200,Stęplowski Kamil,Jędrzewski Rafał,Golec Karol,Kacper Sailor,47,0,8,9,4,12,5,-13,9, 
8,164,Janc Stefan,Janc Stefan,Janc Weronika,JK Pogoria 3 Dąbrowa G.,49,0,11,-13,6,7,8,12,5, 
9,252,Plichta Sławomir,Gielniak Mikołaj,Płotka Patryk,AZS Politechnika Gdańska,52,0,(dsq),12,5,4,dsq,9,4, 
10,300,Szwankowska Katarzyna,Płaczek Robert,Dziuba Daniel,Proconet Racing,55,0,12,8,-13,9,10,10,6, 
11,185,Micewicz Tomasz,Pielaszkiewicz Michał,Sylwestrzak Mateusz,Procad Racing Team,60,0,6,4,(dsq),5,ocs,14,13, 
12,271,Tarasiuk Igor,Sadowski Bartosz,Płotka Dawid,UKS Florek Sierakowice,63,0,13,-16,9,11,13,7,10, 
13,242,Salamon Grzegorz,Rozwadowska Sylwia,Kozak Michał,KŻ Horn Kraków,66,0,7,5,15,-16,7,16,16, 
14,101,Sokołowski Daniel,Jaskulska Magdalena,Majewski Marek,Super Koszyk pl,66,0,14,10,11,14,11,6,-15, 
15,14,Praxmajer Marcin,Staśkiewicz Tomasz,Szafrański Bartosz,KŻ Petrochemia,71,0,-15,14,10,13,12,8,14, 
16,254,Kuszka Rafał,Kasprzycki Dawid,Gerlich Marcin,Misto Chorzów,74,0,10,15,14,8,(ocs),15,12, 
17,191,Kalinowski Bolesław,Żurawski Dariusz,Jagusiak Leszek,MKS Szkuner Myślibórz,100,0,(dsq),17,16,15,ocs,17,17, 
