Mistrzostwa Polski o Puchar Juliusza Sieradzkiego,,,,,,,,
w kiasie OMEGA Sport i OMEGA Standard,,,,,,,,
28-31 lipiec 2016,,,,,,,,
PUCK,,,,,,,,
Wyniki po protestach,,,,,,,,
Wyniki OMEGASport,,,,,,,,
Wyniki po uwzglgdnieniu 1 odrzutka,,,,,,,,
Mce Nr tag!,,Nazwisko,Punkty,1,2,3,4,5
1,154,"Kamil Ortyl, Marek Gozłowski, Robert Zawadowicz, Vector Sails Gdansk","5,0",(2),2,1,1,1
2,185,"Tomasz Micewicz, Maciej Chatłas, Jan Walczak, Gdansk","9,0",(3),3,2,2,2
3,215,"Michat Ruciński, Patryk Płotka, Piotr Malecki, Mipro AKM Gdansk","15,0",(6),4,4,3,4
4,277,"Jakub Marciniak, Jakub Surowiec, Marek Zalewski, AZS Politechnika Gdariska","18,0",1,5,6,(8),6
5,245,"Piotr Sikorski, Benjamin Piksa, Tomasz Pierzchala, AWF Katowice","19,0",4,6,(13),6,3
6,272,"Mirosław Misiaszek, Łukasz Gogojewicz, Jacek Kucek, MKS ""Szkuner"" My§libOrz","21,0",(dnt),1,8,5,7
7,300,"Katarzyna Szwankowska, Robert Ptaczek, Elżbieta Malarz, Chorzow","25,0",8,(20),3,4,10
8,50,"Andrzej Szynkiewicz, Marek Chruściel, Marek Żurawski, MKS ""Szkuner"" Myślibórz","32,0",7,(16),7,13,5
9,35,"Jerzy Nadolny, Witold Urbanski, Piotr Sutkowski, J.K. Chalkos Lubin","33,0",5,13,5,10,(dsq)
10,101,"Daniel Sokotowski, Magdalena Jaskulka, Mieszko MOrawski, Suwalki","33,0",9,7,9,(dsq),8
11,503,"Krzysztof Malecki, Karina Górka, Bartek Mach, Gizycko","37,0",10,11,(12),7,9
12,249,"Wojciech Parużnik, Michaf Zawor, Jacek Mrożek, YC Beskid Nowy Sqcz","39,0",(11),9,10,9,11
13,254,"Rafał Kuszka, Dawid Kasprzycki, Oskar Kurowsk, Miasto ChorzOw","48,0",(14),12,11,11,14
14,303,"Marcin Praxmajer, Tomasz Staśkiewicz, Adrian Lewandowski, KZ Petrochemia Plock","54,0",12,(17),15,15,12
15,270,"Dariusz Żurawski, Jerzy Szpit, Jarostaw Kalinowski, MKS ""Szkuner"" My6liborz","55,0",(dnf),10,14,14,17
16,267,"Mariusz Maokowiak, Joanna Maokowiak, Maciej Maokowiak, AZS Uniwersytet Gdariski","61,0",(dnc),15,17,16,13
17,85,"Maja Remizowicz, Maja Zakrzewska, Agnieszka Rózga Micewicz, JK Stoczni Gdariskiej","62,0",15,14,(19),18,15
18,177,"Wiktor Czalbowski, Michat Piernicki, Filip Zebrowski, AZS Politechnika Gdariska","65,0",13,8,(dnf),dnf,dnc
19,222,"Jan Springer, Krzysztof Spytek, Boguslaw Waszkiewicz, JKM ""Roda"" Gdynia","65,0",16,(18),16,17,16
20,1924,"Paweł Kalota, Bartosz Kowalski, Piotr Dąbrowski, YKP Warszawa","73,0",(dnf),21,18,12,dsq
21,259,"Dariusz Dązbłaż, Zenon Dązbłaż, Roksana Gieleciak, Yacht Club Jermat Gudowo","85,0",(dnf),19,dnf,dnf,dnc
,,,,,,,,
RDG - wyniki sq nastgpujqce:,,,,,,,,
"272 Miroslaw Misiaszek, Lukasz Gogojewicz, Jacek Kucek, MKS ""Szkuner"" My§libOrz wy6cig 1: 10 punkty",,,,,,,,
"ZW Program do Obliczania Wynikow Regat, 4.023.082",,,,,,,,
"Copyright 1986 - 2016, Leo G Eggink, Zoetermeer",,,,,,,,
Informacje o ZW http✓www.zw-scorina.n1,,,,,,,,
Updated: 07/31/2016 09:25:22,,,,,,,,
