Mistrzostwa Polski o Puchar Juliusza Sieradzkiego,,,,,,,,,,
w klasie OMEGA Sport i OMEGA Standard,,,,,,,,,,
28-31 lipiec 2016,,,,,,,,,,
PUCK,,,,,,,,,,
Wyniki ostateczne,,,,,,,,,,
Wyniki OMEGAStanda,,,,,,,,,,
Wyniki po uwzględnieniu 1 odrzutka,,,,,,,,,,
Mce Nr żagl,,Nazwisko,Punkty,1,2,3,4,5,6,7
1,13,"Romuald Knasiecki, Sebastian Knasiecki, Martyna Knasiecka, Viking - Człuchów","10,0",(4),1,4,1,2,1,1
2,161,"Dariusz Bałazy, Dawid Palka, Krzysztof Brzezinka, KSW ""Hutnik"" Pogoria","22,0",5,3,3,3,4,(12),4
3,269,"Janusz Zimer, Łukasz Nykiel, Iwona Nykiel, MKS Szkuner Myśl","28,0",10,5,2,(dsq),6,3,2
4,3942,"Jarosław Cieślak, Bartosz Cieślak, Piotr Cieślak, KW Enif Częstochowa","32,0",1,4,1,8,(11),11,7
5,211,"Przemysław Wiśniewski, Joanna Pestyk, Magdalena Siulińska, Deni Polska.PL","40,0",(13),2,7,10,8,2,11
6,235,"Andrzej Moroński, Zbigniew Heyn, Barbara Moroński, Gronik Sailing Team","40,0",9,10,5,2,5,9,(12)
7,502,"Zbigniew Długaszewski, Daniel Motkoch, Bartosz Skrzypczak, LKŻ Sława","45,0",7,8,(23),6,10,4,10
8,174,"Przemysław Witkowski, Mariu Rzepka, Przem Pawlaczyk, Lira KKŻ Kościan","47,0",2,9,10,7,14,5,(dnf)
9,182,"Jakub Pankiewicz, Andrzej Osuch, Paweł Mika, Periwatea Sailing Team","49,0",6,13,6,5,(15),10,9
10,149,"Radosław Stachurski, Marek Stachurski, Mate Kaczmarowski, KSW Fregata","50,0",11,12,9,4,(16),6,8
11,14,"Janusz Olszewski, Tomasz Mordas, Paweł Świderski, KŻ Jomitoka Miedwie","56,0",14,7,8,(17),7,7,13
12,238,"Waldemar Biały, Nikodem Gołębiewski, Roman Koloś, KS Turów Zgorzelec","64,0",12,(24),11,14,13,8,6
13,239,"Mariusz Wypych, Kacper Hadryś, Cezary Hadryś, Lavela Sails Częst","70,0",3,6,17,11,(dsq),16,17
14,181,"Adam Perczyński, Wojciech Perczyński, Grzegorz Perczyński, Grupa HM","73,0",(dnf),18,14,9,1,ocs,3
15,199,"Marcin Drużkowski, Julia Drużkowska, Tomasz Knasiecki, Korsil - Osielsko","83,0",16,25,13,12,12,(ocs),5
16,150,"Krzysztof Orwaldi, Piotr Orwaldi, Piotr Buszyk, KS Spójnia Warszawa","85,0",(20),11,15,20,9,14,16
17,16,"Krzysztof Turza, Hubert Radzimowski, Krystyna Kiczko, Gniezno","87,0",17,15,12,21,3,19,(22)
18,380,"Stefan Kalinowski, Tomasz Knasiecki, Kinga Pilarska, Viking - Człuchów","97,0",(21),14,16,15,21,17,14
19,191,"Adam Pachowicz, Bogusław Patroś, Leszek Jagusiak, MKS Szkuner Myśl","101,0",18,16,(19),19,18,15,15
20,307,"Marian Markiewicz, Piotr Inglot, Michał Drużbicki, KU AZS Politechnika Rz","102,0",8,22,18,13,(dnf),13,ocs
21,92,"Krzysztof Grajewski, Waldemar Stec, Maciej Wiśniak, Sztorm Barlinek","111,0",15,(27),20,18,17,23,18
22,74,"Krzysztof Palacz, Olga Kreczmer, Dawid Garguliński, KŻ ""Kotwica"" Rogoźno","119,0",19,17,21,(22),20,22,20
23,1237,"Adam Łobodziński, Tomasz Barański, Tomasz Siwitela, YKS Gdynia","122,0",(dnf),19,26,16,19,21,21
24,184,"Sierzchuła Henryk, Tadeusz Miężalski, Paula Binek, KŻ ""Kotwica"" Rogoźno","131,0",22,20,22,23,(dnf),20,24
25,214,"Anna Maćkowiak, Kama Wodyńska, Paweł Komorowski, AZS Uniwersytet Jag","137,0",(dnc),21,25,dnf,22,18,23
26,310,"Jan Witkowski, Joanna Tyczka, Marian Żuk, MKS Szkuner Myśl","146,0",(dnf),23,24,dnf,dnc,24,19
27,275,"Andrzej Mańczak, Paweł Gostkowski, Malwina Walter, ŻUKS Stężyca","159,0",(dnf),26,dnc,24,dnf,25,dnf
,,,,,,,,,,
"ZW Program do Obliczania Wynikow Regat, 4.023.082",,,,,,,,,,
"Copyright 1986 - 2016, Leo G Eggink, Zoetermeer",,,,,,,,,,
Informacje o ZW http://www.zw-scorinq.nl,,,,,,,,,,
Updated: 07/31/2016 19:35:21,,,,,,,,,,
