Agnieszka Skrzypulec,Agnieszka Skrzypulec,POL
Alejandro Abascal,Alejandro Abascal,POL
Alejandro Abascal García,Alejandro Abascal García,POL
Alex Maloney,Alex Maloney,POL
Andrzej Iwiński,Andrzej Iwiński (żeglarz),POL
Bogdan Kramer,Bogdan Kramer,POL
Eckart Diesch,Eckart Diesch,POL
Henryk Blaszka,Henryk Blaszka,POL
Henryk Blaszka,Henryk Blaszka,POL
Jacques Lebrun,Jacques Lebrun,POL
Jens Bojsen-Møller,Jens Bojsen-Møller,POL
Jonathan McKee,Jonathan McKee,POL
Jørgen Bojsen-Møller,Jørgen Bojsen-Møller,POL
Karol Jabłoński,Karol Jabłoński,POL
Lisa Westerhof,Lisa Westerhof,POL
Lucas Calabrese,Lucas Calabrese,POL
Ludwik Raczyński,Ludwik Raczyński,POL
Łukasz Zakrzewski,Łukasz Zakrzewski,POL
Michał Burczyński,Michał Burczyński,POL
Miguel Noguer,Miguel Noguer,POL
Paul Elvstrøm,Paul Elvstrøm,POL
Paul Foerster,Paul Foerster,POL
Peter Lang,Peter Lang,POL
Piotr Burczyński,Piotr Burczyński,POL
Reinaldo Conrad,Reinaldo Conrad,POL
Rolly Tasker,Rolly Tasker,POL
Ron Sherry,Ron Sherry,POL
Sime Fantela,Sime Fantela,POL
Tomasz Zakrzewski,Tomasz Zakrzewski,POL
Władysław Stefanowicz,Władysław Stefanowicz,POL
Vaiko Vooremaa,,EST
Madars Alvikis,,AUT
Ron Sherry,Ron Sherry,USA
Robert Graczyk,,POL
