1956,FRA Jacques Lebrun / P. Harinkcouck
1957,DEN Paul Elvstrøm / P. Poullain
1958,DEN Paul Elvstrøm / P. Poullain
1959,FRA Marcel Buffet / Patrick Wolff
1960,FRA Marcel Buffet / Patrick Wolff
1961,FRA J. Cornu / D. Doufier
1962,GBR Keith Paul / Bill Moakes
1963,AUS Brian Price / Chris Hough,USA Henry Schefter / Brian Smart
1964,AUS John Parrington / Chris Hough
1965,GBR Derek Farrant / Robin Farrant
1966,AUS Jim Hardy / Max Whitnall,DEN Paul Elvstrøm / Malcolm 'Pip' Pearson
1967,FRA B. Moret / R. Morch
1968,FRA Marcel Troupel / Philippe Lanaverre,FRA Yves Pajot / Marc Pajot,FRA Marcel Buffet / Daniel Nottet
1969,GBR Larry Marks / Victor Deschamps,IRL Cudmore / Bruen,ARG Domato / Sidmann
1970,GBR Larry Marks / Victor Deschamps,GBR Gordon Wilson / Philip Wilson,GBR Derek Farrant / Robin Farrant
1971,GBR Derek Farrant / Robin Farrant,USA Dave Vickland / Pingree,GBR Peter Bainbridge
1972,FRA Nicolas Loday / Nicolas Fedorenko,FRA Bruno Levesque / Jean-Luc Bapst,FIN Kari Wilén / Jyri Wilén
1973,GBR Peter White / John Davies,USA Dennis Surtees / Stephen Owens,FRA Yves Pajot / Yvon Kergreis
1974,FRA Yves Pajot / Marc Pajot,USA Dennis Surtees / Stephen Owens,SWE Björn Arnesson / Göran Andersson
1975,GBR John Loveday / Lewis Dann,FRA Jean-Marie Danielou / François Richard,FRA Marcel Buffet / Thierry Desfarges
1976,GBR Peter Colclough / Steve Jones,AUS Terry Kyrwood / Reg Crick,AUS R. Nonris / I. Rors
1977,GBR Peter Colclough / Phil Brown,USA Ethan Bixby / Larry Tuttle,USA Steve Taylor / Stan Honey
1978,GBR Peter Colclough / Phil Brown,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,AUS Terry Kyrwood / Reg Crick
1979,USA Steve Taylor / David Penfield,USA Dennis Surtees / Paul Cayard,USA Dan Thompson
1980,USA Steve Benjamin / Tucker Edmundson,USA Jon Andron / Howie Hamlin,GBR Peter Colclough / Harold Barnes
1981,USA Ethan Bixby / Cam Lewis,USA Steve Benjamin / Tucker Edmundson,DEN Jørgen Schønherr / Anders Kæmpe
1982,USA Gary Knapp / Cam Lewis,GBR Peter Colclough / Harold Barnes,USA Steve Benjamin / Tucker Edmundson
1983,AUS Terry Kyrwood / Reg Crick,AUS Gary Bruniges / Greg Gardiner,AUS Geoff Kyrwood / Bob Kyrwood
1984,AUS Dean Blatchford / Tom Woods,GBR Peter Colclough / Harold Barnes,USA Howie Hamlin / Rick Rattray
1985,AUS Gary Bruniges / Greg Gardiner,AUS Dean Blatchford / Tom Woods,GBR Peter Colclough / Harold Barnes
1986,GBR Peter Colclough / Harold Barnes,SWE Krister Bergström / Magnus Holmberg,SWE Jan Bergström / Bengt Zachrisson
1987,SWE Krister Bergström / Olle Wenrup,DEN Jørgen Holm / Finn Jensen,AUS Dean Blatchford / Tom Woods
1988,SWE Krister Bergström / Olle Wenrup,AUS Dean Blatchford / Tom Woods,AUS Stephen McConaghy / Andrew McConaghy
1989,SWE Krister Bergström / Per Anders Hallberg,GBR Peter Colclough / Phil Brown,USA Bruce Edwards / David Shelton
1990,DEN Jørgen Schønherr / Anders Kæmpe,FRA Philippe Boite / Jean-Luc Muzellec,SWE Krister Bergström / Olle Wenrup
1991,SWE Krister Bergström / Per Anders Hallberg,GBR Ian Pinnell / Mark Darling,DEN Jørgen Schønherr / Anders Kæmpe
1992,AUS Chris Nicholson / Darren Nicholson,DEN Jørgen Schønherr / Michael Poulsen,USA Bruce Edwards / David Shelton
1993,GBR Ian Barker / Tim Hancock,GBR Paul Brotherton / Bill Masterman,DEN Jørgen Schønherr / Michael Poulsen
1994,AUS Chris Nicholson / Darren Nicholson,GBR Ian Barker / Tim Hancock,DEN Jørgen Schønherr / Michael Poulsen
1995,GBR Jeremy Robinson / Bill Masterman,SWE Krister Bergström / Thomas Moss,SWE Ebbe Rosén / Olle Wenrup
1996,GBR Paul Towers / Dan Johnson,USA Howie Hamlin / Cam Lewis,GBR Ian Barker / Daniel Cripps
1997,GBR Mark Upton-Brown / Ian Mitchell,SWE Ebbe Rosén / Olle Wenrup,USA Howie Hamlin / Mike Martin
1998,USA Nick Trotman / Mike Mills,USA Howie Hamlin / Mike Martin,GBR Ian Barker / Daniel Cripps
1999,USA Howie Hamlin / Mike Martin,USA Andy Beeckman / Ben Benjamin,DEN Jørgen Schønherr / Anders Kæmpe
2000,SWE Krister Bergström / Thomas Moss,USA Mike Martin / Steve Bourdow,USA Howie Hamlin / Peter Alarie
2001,GER Wolfgang Hunger / Holger Jess,GBR Ian Pinnell / Tim Hancock,SWE Krister Bergström / Thomas Moss
2002,AUS Chris Nicholson / Darren Nicholson,USA Howie Hamlin / Mike Martin,SWE Krister Bergström / Thomas Moss
2003,GER Wolfgang Hunger / Holger Jess,SWE Krister Bergström / Johan Barne,USA Howie Hamlin / Peter Alarie
2004,USA Morgan Larson / Trevor Baylis,USA Howie Hamlin / Peter Alarie,USA Mike Martin / Jeff Nelson
2005,GER Wolfgang Hunger / Holger Jess,USA Mike Martin / Jesse Falsone,GER Dietrich Scheder-Bieschin / Reiner Görge
2006,GBR Mark Upton-Brown / Ian Mitchell,USA Howie Hamlin / Jeff Nelson,GER Jens Findel / Johannes Tellen
2007,DEN Jan Saugmann / Morten Ramsbæk,USA Howie Hamlin / Fritz Lanzinger,AUS Sandy Higgins / Paul Marsh
2008,GBR Ian Pinnell / Carl Gibbon,USA Howie Hamlin / Andy Zinn,GER Wolfgang Hunger / Julien Kleiner
2009,USA Mike Martin / Jeff Nelson,USA Mike Holt / Carl Smith,AUS Chris Nicholson / Casey Smith
2010,GER Wolfgang Hunger / Julien Kleiner,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,GBR Ian Pinnell / Ian Mitchell
2011,GER Wolfgang Hunger / Julien Kleiner,USA Mike Holt / Carl Smith,AUS Sandy Higgins / Paul Marsh
2012,DEN Jan Saugmann / Martin Görge,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,GER Christian Kellner / Martin Schoeler
2013,GER Class Lehmann / Leon Oehme,GER Stefan Boehm / Gerald Roos,GER Wolfgang Hunger / Holger Jess
2014,USA Mike Holt / Rob Woelfel,AUS Peter Nicholas / Luke Payne,GER Wolfgang Hunger / Julien Kleiner
2015,USA Mike Holt / Carl Smith,GBR Ian Pinnell / Johannes Tellen,USA Ted Conrads / Brian Haines
