1956,BEL André Nelis,DNK Paul Elvstrøm,CAN Brian Roswell
1957,DDR Jürgen Vogler,NOR Harald Bredo Eriksen,BEL André Nelis
1958,DNK Paul Elvstrøm,BEL André Nelis,ITA Adelchi Palaschier
1959,DNK Paul Elvstrøm,BEL André Nelis,FRA Pierre Poullain
1960,GBR Vernon Stratton,BEL André Nelis,GBR Desmond Stratton
1961,BEL André Nelis,DNK Hans Fogh,USA Fred Miller
1962,SWE Arne Akersson,SWE Boris Jacobsson,BEL André Nelis
1963,DEU Wilhelm Kuhweide,SWE Boris Jacobsson,NLD Hans Willems
1964,AUT Hubert Raudaschl,SWE Hakan Kellner,CAN Richard Creagh-Osborne
1965,DDR Jürgen Mier,DDR Bernd Dehmel,GBR Richard Hart
1966,DEU Wilhelm Kuhweide,BRA Jörg Bruder,DEU Bernhard Straubinger
1967,DEU Wilhelm Kuhweide,SUN Walentin Mankin,DEU Uwe Mares
1968,DNK Henning Wind,DEU Uwe Mares,BRA Jörg Bruder
1969,SWE Thomas Lundqvist,BRA Jörg Bruder,USA Peter Barrett
1970,BRA Jörg Bruder,USA Henry Sprague,USA Robert Andre
1971,BRA Jörg Bruder,USA Carl van Dyne,FRA Serge Maury
1972,BRA Jörg Bruder,AUS John Bertrand,SWE Leonard Gustafsson
1973,FRA Serge Maury,SWE Magnus Olin,SWE Guy Liljegren
1974,USA Henry Sprague,SWE Guy Liljegren,SWE Kent Carlsson
1975,SWE Magnus Olin,NLD Baudouin Binkhorst,NZL Jonty Farmer
1976,GBR Christopher Law,NZL Jonty Farmer,AUS John Bertrand
1977,ESP Joaquín Blanco,ESP José Luis Doreste,BRA Claudio Biekarck
1978,USA John Bertrand,ESP Joaquín Blanco,USA Carl Buchan
1979,USA Cameron Lewis,USA John Bertrand,NLD Mark Neeleman
1980,USA Cameron Lewis,USA John Bertrand,CAN Lawrence Lemieux
1981,DEU Wolfgang Gerz,DNK Lasse Hjortnæs,POL Mirosław Rychcik
1982,DNK Lasse Hjortnæs,POL Henryk Blaszka,USA Buzz Reynolds
1983,USA Paul van Cleve,DEU Wolfgang Gerz,NLD Mark Neelemen
1984,DNK Lasse Hjortnæs,CAN Terry Neilson,DNK Jørgen Lindhardtsen
1985,DNK Lasse Hjortnæs,SUN Oleg Joperski,SWE Ingvar Bengtsson
1986,DNK Stig Westergaard,USA Brian Ledbetter,ESP José Luis Doreste
1987,ESP José Luis Doreste,DNK Lasse Hjortnæs,USA Brian Ledbetter
1988,DEU Thomas Schmid,NLD Roy Heiner,CAN Gordon Anderson
1989,DNK Stig Westergaard,MEX Eric Mergenthaler,SUN Oleg Joperski
1990,CAN Hank Lammens,CAN Lawrence Lemieux,MEX Eric Mergenthaler
1991,CAN Hank Lammens,USA Brian Ledbetter,SUN Oleg Joperski
1992,MEX Eric Mergenthaler,AUS Glen Bourke,AUT Hans Spitzauer
1993,FRA Philippe Presti,SWE Fredrik Lööf,CAN Richard Clarke
1994,SWE Fredrik Lööf,CAN Hank Lammens,ESP Jose María van der Ploeg
1995,AUT Hans Spitzauer,SWE Fredrik Lööf,FRA Philippe Presti
1996,FRA Philippe Presti,AUT Hans Spitzauer,SWE Fredrik Lööf
1997,SWE Fredrik Lööf,ITA Luca Devoti,FRA Xavier Rohart
1998,POL Mateusz Kusznierewicz,SWE Fredrik Lööf,FRA Xavier Rohart
1999,SWE Fredrik Lööf,POL Mateusz Kusznierewicz,CAN Richard Clarke
2000,POL Mateusz Kusznierewicz,BEL Sébastien Godefroid,GRC Emilios Papathanasiou
2001,BEL Sébastien Godefroid,POL Mateusz Kusznierewicz,GRC Emilios Papathanasiou
2002,GBR Ben Ainslie,POL Mateusz Kusznierewicz,GRC Emilios Papathanasiou
2003,GBR Ben Ainslie,ESP Rafael Trujillo,GBR Andrew Simpson
2004,GBR Ben Ainslie,CAN Richard Clarke,IRL David Burrows
2005,GBR Ben Ainslie,GRC Emilios Papathanasiou,CAN Chris Cook
2006,DNK Jonas Høgh-Christensen,GRC Emilios Papathanasiou,GBR Edward Wright
2007,ESP Rafael Trujillo,NLD Pieter-Jan Postma,SVN Gašper Vinčec
2008,GBR Ben Ainslie,NZL Dan Slater,DNK Jonas Høgh-Christensen
2009,DNK Jonas Høgh-Christensen,USA Zach Railey,HRV Ivan Kljaković Gašpić
2010,GBR Edward Wright,ESP Rafael Trujillo,GBR Giles Scott
2011,GBR Giles Scott,NLD Pieter-Jan Postma,GBR Edward Wright
2012,GBR Ben Ainslie,GBR Edward Wright,DNK Jonas Høgh-Christensen
2013,BRA Jorge Zarif,GBR Edward Wright,NLD Pieter-Jan Postma
2014,GBR Giles Scott,HRV Ivan Kljaković Gašpić,GBR Edward Wright
2015,GBR Giles Scott,FRA Jonathan Lobert,SVN Vasilij Žbogar
2016,GBR Giles Scott,DNK Jonas Høgh-Christensen,NLD Pieter-Jan Postma
2017,SWE Max Salminen,FRA Jonathan Lobert,NED Nicholas Heiner
2018,HUN Zsombor Berecz,SWE Max Salminen,NED Pieter-Jan Postma
