1955,DEN Paul Elvstrøm / Aage Birch ,,
1956,ITA Vittorio Porta / Beppe Barnao,SUI Pierre Siegenthaler / Michel Buzzi,POL Zbigniew Szpetulski
1959,FRG Detlev Kreidel / Joachim Möller,AUT Fereberger,GBR Adrian Jardine / Angus Fryer
1960,DEN Hans Fogh / Ole Gunnar Petersen,SUI Pierre Siegenthaler / Michel Buzzi,GBR Dawes
1961,SUI Pierre Siegenthaler / Michel Buzzi,FRG Kadelbach,NED Ben Verhagen
1962,GBR N. Wooderson Johnson / Christopher Davies,NOR Peder Lunde Jr. / Bjørn Bergvall,FRA Auclair
1964,GBR Keith Musto / Tony Morgan,DEN Hans Fogh / Ole Gunnar Petersen,AUT Geiger / Fischer
1966,GBR John Oakeley / David Hunt,GBR Keith Musto / Tony Morgan,FRA Draeger / Gavier
1967,GBR John Oakeley / David Hunt,GBR Rodney Pattison / Iain MacDonald-Smith,AUT Geiger / Fischer
1968,GBR Rodney Pattison / Iain MacDonald-Smith,FRA Bertrand Cheret / Bernard Trouble,NED Ben Verhagen / Nick de Jong
1969,GBR Rodney Pattison / Iain MacDonald-Smith,,
1970,GBR Rodney Pattison / Iain MacDonald-Smith,GDR Herbert Hüttner / Dietmar Gede,ITA Massone
1971,GBR Rodney Pattison / Julian Brooke,,
1972,GBR Rodney Pattison / Christopher Davies,GER Ullrich Libor / Peter Naumann,NED Fred Imhoff / Simon Korver
1973,GDR Herbert Hüttner / Ulf Pagenkopf,GDR Fröbe / Mayer,FRA Marc Pajot / Yves Pajot
1975,GBR Rodney Pattison / Julian Brooke-Houghton,FRG Albert Batzill / Rudolf Batzill,SUI J. Hotz / A. Nicolet
1976,CAN Hans Fogh / Evert Bastet,GDR Uwe Steingross / Jörg Schramme,FRG Jörg Diesch / Eckart Diesch
1982,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,FRG Jörg Diesch / Eckart Diesch,FRG Wiesner / Dressendörfer
1986,FRG Jörg Diesch / Eckart Diesch,CAN Frank McLaughlin / John Millen,JPN Sato / Wakanaga
1987,FRA Thierry Berger / Vincent Berger,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,ESP Luis Doreste Blanco / Andor Serra
1988,ESP Luis Doreste Blanco / Miguel Noguer,NOR Ole Petter Pollen / Erik Bjørkum,FRG Albert Batzill / Peter Lang
1989,HUN Tamás Pomucz / Béla Argay,GDR Ulf Lehmann / Stefan Mädicke,GDR Jörn Borowski / Matthias Kroh
1990,URS Georgy Shayduko / Viktor Budanzev,ESP Luis Doreste Blanco / Domingo Manrique,FRG Andreas Willim / Carsten Kemmling
1991,ITA Luca Santella / Flavio Grassi,ESP Luis Doreste Blanco / Domingo Manrique,FRG Albert Batzill / Peter Lang
1992,FRA Thierry Berger / Vincent Berger,ESP Luis Doreste Blanco / Domingo Manrique,CAN Frank McLaughlin / John Millen
1997,HUN Szabolcs Majthényi / András Domokos,GER Michael Dorrer / Josef Seebauer,GER Andreas Gillwald / Martin Romberg
2000,HUN Szabolcs Majthényi / András Domokos,GER Hans-Peter Schwarz / Roland Kirst,DEN Jørgen Schønherr / Jørgen Bojsen-Møller
2003,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,GER Hans-Peter Schwarz / Roland Kirst,HUN Szabolcs Majthényi / András Domokos
2006,HUN Szabolcs Majthényi / András Domokos,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,GER Dirk Bogumil / Michael Lisken
2008,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,HUN Szabolcs Majthényi / András Domokos,AUS Norman Rydge / Richard Scarr
2012,HUN Szabolcs Majthényi / András Domokos,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,NED Enno Kramer / Ard Geelkerken
2015,HUN Szabolcs Majthényi / András Domokos,NED Enno Kramer / Ard Geelkerken,ITA Nicola Vespasiani / Francesco Vespasiani
