1956,FRG Rolf Mulka / Ingo von Bredow,GDR Walter Berger / Walter Hohensee,FRG Harald Kuehling / Hans Lorentz,
1957,FRG Rolf Mulka / Ingo von Bredow,NED Jaap Helder / Joop van Meggelen,FRG Jürgen Wagner / Hans Hauschildt,
1958,AUS Rolly Tasker / Ian Palmer,ITA Vittorio Porta / Emilio Massino,NED Norman Oerlemans / Bob Boeschoten,
1959,ITA Mario Capio / Tullio Pizzorno,GBR Adrian Jardine / Angus Fryer,FRG Rolf Mulka / Ingo von Bredow,
1962,DEN Hans Fogh / Paul Elvstrøm,AUS Rolly Tasker / Andrew White,GBR Stewart Jardine / James Ramus
1963,SUI Jean-Pierre Renevier / Serge Graz,GBR Keith Musto / Tony Morgan,ITA Mario Capio / Marco Sartori,
1965,GBR Richard Pitcher / Ian McCormack,ITA Mario Capio / Marco Sartori,GDR Hans J. Cochius / Werner Christoph,
1967,GBR John Oakeley / David Hunt,NZL Geoffrey Smale / Ralph Roberts,AUT Karl Geiger / Werner Fischer,
1969,GBR Rodney Pattison / Ian MacDonald-Smith,FRA Alain Draeger / Pierre Nottet,GBR Keith Musto / John Wigglesworth,
1970,GBR Rodney Pattison / Ian MacDonald-Smith,GBR John Truett / Edward Leask,AUS Craig Whitworth / Bob Miller,
1971,GBR Rodney Pattison / Julian Brooke-Houghton,NZL Jock Bilger / Murray Ross,AUS Mark Bethwaite / Tim Alexander,
1973,DEN Hans Fogh / Evert Bastet,FRA Marc Pajot / Yves Pajot,BRA Reinaldo Conrad / Burkhard Cordes
1974,GDR Ilja Wolf / Bernd Klenke,GDR Herbert Hüttner / Ulf Pagenkopf,CAN Hans Fogh / Evert Bastet,
1975,FRA Marc Pajot / Yves Pajot,NZL Jock Bilger / Murray Ross,FRG Jörg Diesch / Eckart Diesch
1977,SUI Jörg Hotz / André Nicolet,FRG Jörg Diesch / Eckart Diesch,NED Erik Vollebregt / Sjoerd Vollebregt,
1978,FRG Albert Batzill / Rudolf Batzill,FRG Jörg Diesch / Eckart Diesch,ESP Alejandro Abascal / Miguel Noguer,
1979,FRA Mark Bouet / Thierry Poirey,ESP Alejandro Abascal / Miguel Noguer,NED Erik Vollebregt / Sjoerd Vollebregt
1980,CAN Terence McLaughlin / Evert Bastet,FRG Albert Batzill / Rudolf Batzill,FRG Jörg Diesch / Eckart Diesch,
1981,FRG Albert Batzill / Rudolf Batzill,FRG Jörg Diesch / Eckart Diesch,ITA Marco Savelli / Roberto Gazzei,
1982,FRG Anton Schwarz / Peter Fröschl,SWE Bengt Hagander / Magnus Kjell,CAN Terence McLaughlin / Evert Bastet,
1983,USA Jonathan McKee / William Carl Buchan,FRG Jörg Diesch / Eckart Diesch,URS Sergey Borodinov / Vladyslav Akimenko,
1984,FRG Albert Batzill / Klaus Wende,FRA Mark Bouet / Bruno Gandolphe,FRA Laurent Delage / Thierry Poirey,
1985,DEN Jörgen Schønherr / Michael Poulsen,FRG Jörg Diesch / Eckart Diesch,ITA Mario Celon / Claudio Celon,
1986,FRG Jörg Diesch / Eckart Diesch,FRG Albert Batzill / Klaus Wende,CAN Frank McLaughlin / John Millen,
1987,ESP Luis Doreste / Andor Serra,URS Sergey Borodinov / Viktor Budanzev,FRG Markus Wieser / Franz Wieser
1988,DEN Jørgen Bojsen-Møller / Christian Grønborg,NZL Murrey Jones / Gerg Knowles,FRA Thierry Berger / Vincent Berger,
