1989,FRG Albert Batzill / Peter Lang,FRG Markus Wieser / Peter Fröschl,NOR Ole Petter Pollen / Erik Bjorkum,
1990,DEN Jørgen Bojsen-Møller / Jens Bojsen-Møller,FRA Thierry Berger / Vincent Berger,FRG Albert Batzill / Peter Lang
1991,USA Paul Foerster / Stephen Bourdow,FRA Thierry Berger / Vincent Berger,DEN Jørgen Bojsen-Møller / Jens Bojsen-Møller,
1992,USA Paul Foerster / Stephen Bourdow,NZL Murrey Jones / Greg Knowles,FRA Thierry Berger / Vincent Berger,
1993,DEN Jørgen Bojsen-Møller / Jens Bojsen-Møller,GER Stephan Schurich / Mark Dieckmann,GER Andreas Piettner / Max Friedrich,
1994,HUN Szabolcs Majthényi / András Domokos,AUS Ian McCrossin / James Cook,NZL Paul Francis / Simon Mander,
1995,AUS Ian McCrossin / James Cook,GER Eddy Eich / Ben Hagenmeyer,NED Wim Lageslag / Peter van Koppen,
1996,GER Ulf Lehmann / Stefan Mädicke,HUN Szabolcs Majthényi / András Domokos,GER Uwe Steingross / Sven Hermenau,
1997,AUS Ian McCrossin / James Cook,ITA Roberto Cipriani / Stefano Morelli,GER Hans-Peter Schwarz / Roland Kirst
1998,NED Enno Kramer / Hein Dijksterhuis,AUS Ian McCrossin / James Cook,NED Wim Langeslag / Jacob Bojsen-Møller,
1999,DEN Jørgen Schonherr / Jacob Bojsen-Møller,GER Jörn Borowski / Andreas Berlin,NED Enno Kramer / Hein Dijksterhuis,
2000,AUS Ian McCrossin / James Cook,GER Hans-Peter Schwarz / Roland Kirst,GBR John Best / James Cole,
2001,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,HUN Szabolcs Majthényi / András Domokos,GER Hans-Peter Schwarz / Roland Kirst,
2002,HUN Szabolcs Majthényi / András Domokos,GER Hans-Peter Schwarz / Roland Kirst,ITA Roberto Cipriani / Stefano Morelli,
2003,HUN Szabolcs Majthényi / András Domokos,AUS Norman Rydge / Richard Scarr,GER Hans-Peter Schwarz / Peter van Koppen,
2004,HUN Szabolcs Majthényi / András Domokos,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,GER Jörn Borowski / Andreas Berlin,
2005,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,HUN Szabolcs Majthényi / András Domokos,AUS Norman Rydge / Richard Scarr,
2006,HUN Szabolcs Majthényi / András Domokos,GER Hans-Peter Schwarz / Roland Kirst,ITA Roberto Cipriani / Stefano Morelli
2007,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,ESP Carlos Beltri / Javier Cayuela,GER Dirk Bogumil / Michael Lisken,
2008,HUN Szabolcs Majthényi / András Domokos,AUS Ian McCrossin / James Cook,AUS Norman Rydge / Richard Scarr
2009,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,HUN Szabolcs Majthényi / András Domokos,NED Bas van der Pol / Mark van der Pol,
2010,HUN Szabolcs Majthényi / András Domokos,NED Enno Kramer / Ard Geelkerken,ITA Nicola Vespasiani / Francesco Vespasiani,
2011,HUN Szabolcs Majthényi / András Domokos,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,NED Enno Kramer / Ard Geelkerken,
2012,HUN Szabolcs Majthényi / András Domokos,NED Enno Kramer / Ard Geelkerken,GER Kay-Uwe Lüdtke / Kai Schäfers
2013,NED Enno Kramer / Ard Geelkerken,HUN Szabolcs Majthényi / András Domokos,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,
2014,HUN Szabolcs Majthényi / András Domokos,NED Enno Kramer / Ard Geelkerken,ITA Nicola Vespasiani / Francesco Vespasiani
2015,HUN Szabolcs Majthényi / András Domokos,NED Enno Kramer / Ard Geelkerken,GER Kilian König / Johannes Brack,
2016,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,GER Kay-Uwe Lüdtke / Kai Schäfers,GER Kilian König / Johannes Brack,
2017,HUN Szabolcs Majthényi / András Domokos,GER Hans-Peter Schwarz / Roland Kirst,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,
2018,DEN Jørgen Bojsen-Møller / Jacob Bojsen-Møller,HUN Szabolcs Majthényi / András Domokos,ITA Nicola Vespasiani / Francesco Vespasiani,
2019,HUN Szabolcs Majthényi / András Domokos,GER Kay-Uwe Lüdtke / Kai Schäfers,NED Enno Kramer / Ard Geelkerken

