2013,Puck,POL Tymon Sadowski/Jacek Zalewski/Kacper Olszewski,POL Janusz Kordek/Michał Wysocki/Paweł Wysocki,POL Tomasz Micewicz/Michał Pielaszkiewicz/Marcin Panek
2014,Goczałkowice-Zdrój,POL Krzysztof Małecki/Patryk Wojtkiewicz/Bartłomiej Banasik,POL Kamil Ortyl/Robert Zawadowicz/Michał Gajda,POL Patryk Richter/Jakub Surowiec/Marek Zalewski
2015,Puck,POL Patryk Richter,POL Wiktor Czałbowski,POL Tomasz Micewicz
2016,Puck,POL Kamil Ortyl/Marek Gozłowski/Robert Zawadowicz,POL Tomasz Micewicz/Maciej Chatłas/Jan Walczak,POL Michał Ruciński/Patryk Płotka/Piotr Małecki
2017,Puck,POL Kamil Ortyl/Marek Gozłowski/Robert Zawadowicz,POL Patryk Richter/Marek Zalewski/Mikołaj Gielniak,POL Wiktor Czałbowski/Patryk Płotka/Jan Walczak
2018,Goczałkowice-Zdrój,POL Igor Tarasiuk/Izabela Satrjan/Bartosz Sadowski,POL Daniel Sokołowski/Mieszko Mórawski/Piotr Inglot,POL Kamil Ortyl/Robert Zawadowicz/Michał Wojtowicz
2019,Dąbrowa Górnicza,POL Marcin Styborski/Jan Krasodomski/Dawid Płotka,POL Daniel Sokołowski/Mieszko Mórawski/Piotr Inglot,POL Paweł Kalota/Jakub Wróblewski/ Marek Wąsowski
2020,Krynica Morska,POL Marcin Styborski/Jan Krasodomski/Dawid Płotka,POL Kamil Ortyl/Marek Gozłowski/Robert Zawadowicz,POL Daniel Sokołowski/Mieszko Mórawski/Piotr Inglot
