1962,SWE Anders Quiding,DEN Peter Due,
1963,SWE B. Baysen,,
1964,DEN Poul Andersen,,
1965,SWE Ray Larsson,,
1966,USA Doug Bull,,
1967,DEN Peter Warrer,,
1968,DEN Peter Warrer,,
1969,USA Doug Bull,,
1970,USA James Larimore,,
1971,FIN Heiki Vahtera,,
1972,ESP Tomás Estela,SWE Martin Palsson,SWE Don Nordquist
1974,ARG Martín Billoch,SWE Hans Wallén,DEN Hans Fester
1975,DEN Hans Fester,SWE Mattias Söderström,SWE Martin Schröder
1976,SWE Hans Wallén,DEN Jens Asbjørn Hansen,USA Allen Lindsey
1977,SWE Patrik Mark,DEN Mads Damsgaard,DEN Poul Evers
1978,SWE Rikard Hammarvid,FIN Peter von Koskull,SWE Patrik Mark
1979,SWE Johan Petterson,FIN Marko Heiskanen,DEN Rasmus Storgaard
1980,SWE Johan Petterson,DEN Rasmus Damsgaard,FIN Marko Heiskanen
1981,ARG Guido Tavelli,SWE Johan Petterson,BRA Edson Araujo
1982,NOR Njaal Sletten,DEN Christian Rasmussen,DEN Søren Ebdrup
1983,ESP Jordi Calafat,ESP José Carlos Frau,FRA Jean-Pierre Becquet
1984,NED Serge Kats,FIN Jussi Wikström,ESP Xavier García
1985,NED Serge Kats,FIN Risto Tapper,ARG Martín Castrillo
1986,ESP Xavier García,ESP Luis Martínez Doreste,FIN Risto Tapper
1987,ITA Sabrina Landi,ESP Luis Martínez Doreste,SWE Anders Jonsson
1988,ITA Ugo Vanello,ESP Luis Martínez Doreste,ESP Gabriel Tarrasa
1989,DEN Peder Rønholt,FIN Rami Koskinen,ARG Herman Rosso
1990,ARG Martín di Pinto,ARG Agustin Krevisky,SWE Martin Strandberg
1991,ARG Agustin Krevisky,ARG Asdrubal García,DEN Andre Sørensen
1992,ARG Ramón Oliden,ESP Marc Patiño,GER Mike Keser
1993,NED Mats Hellman,ARG Estebán Rocha,ITA Claudia Tosi
1994,ARG Martín Jenkins,ARG Federico Pérez,ARG Julio Alsogaray
1995,ARG Martín Jenkins,BRA Frederico Rizzo,CRO Dario Kliba
1996,NED Lisa Westerhof,CRO Aron Lolic,ITA Ivan Bertaglia
1997,ITA Luca Bursic,ARG Matias Buehler,PER Nicholas Raygada
1998,ITA Mattia Pressich,ARG Fernando Gwozdz,CRO Sime Fantela
1999,ITA Mattia Pressich,CRO Tonci Stipanovic,POR Mario Coutinho
2000,CRO Sime Fantela,ARG Lucas Calabrese,ITA Jaro Furlani
2001,ARG Lucas Calabrese,CHN Zhu Ye,MAS Abdul Rahim
2002,CRO Filip Matika,CRO Stjepan Cesic,ESP Eduardo Zalvide
2003,CRO Filip Matika,BER Jesse Kirkland,ARG Sebastian Peri Brusa
2004,CHN Wei Ni,NZL Paul Snow-Hansen,ESP Eugenio Díaz
2005,GER Tina Lutz,TRI Matthew Schoener Scott,CHN Wu Jianan
2006,GER Julian Autenrieth,SIN Griselda Khng,ECU Édgar Diminich
2007,NZL Chris Steele,CHI Benjamin Grez,NZL Alex Maloney
2008,PUR Raúl Ríos,ISV Ian Barrows,DEN Kristien Kirketerp
2009,PER Sinclair Jones,MAS Mohamad Faizal Norizan,ARG Ignacio Rogala
2010,THA Noppakao Poonpat,MAS Ahmad Syukri Bin Abdul Aziz,JPN Okada Keiju
2011,SIN Kimberly Lim,NED Bart Lambriex,PER Javier Arribas
2012,SIN Yukie Yokoyama,SIN Samuel Neo,SIN Jessica Goh
2013,SIN Loh Jia Yi,GER Nils Sternbeck,SIN Edward Tan
2014,SUI Nicolas Rolaz,THA Voravong Rachrattanaruk,GRE Dimitris Papadimitriou
2015,SLO Rok Verderber,SIN Jodie Lai,NOR Mathias Berthet
2016,SUI Max Wallenberg,NOR Mathias Berthet,MAS Muhammad Fauzi Bin Kaman Shah
2017,ITA Marco Gradoni,MAS Muhammad Fauzi Bin Kaman Shah,CRC Mic Sig Kos Mohr
2018,ITA Marco Gradoni,USA Stephan Baker,THA Panwa Boonnak
2019,ITA Marco Gradoni,MLT Richard Schultheis,ESP Jaime Ayarza
2021,BRA Alex Di Francesco Kuhl,USA Gil Hackel,ITA Alex Demurtas
2022,THA Weka Bhanubandh,USA James Pine,ITA Francesco Carrieri
