1983,ESP Xavier Garcia,,
,,,
1984,ESP Xavier Garcia,,
,,,
1985,FRA Maxime Paul,,
,,,
1986,FIN Vesa Kukkonen,,
,,,
1987,ITA Mario Noto,,
,,,
1988,ITA Alessandro Bonifacio,,
,,,
1989,DEN Martin Nielsen,,
,,,
1990,SFR Yurica Tunjic,,
,,,
1991,ITA Gabrio Zandona,,
,,,
1992,NED Alex Van Der Camme,,
,,,
1993,BEL Thomas Gunst,,
,,,
1994,DEN Jess Anderson,,
,,,
1995,UKR Maxim Pidgurskiy,,
,,,
1996,ESP David Kearley,,
,,,
1997,ESP Jaume Tous Gonzalez,,
,,,
1998,CRO Ivan Kljakovic-Gaspic,,
,,,
1999,GBR Nick Thompson,ITA Giacomo De Carolis,CRO Bojan Ive
1999,FRA Laure Baudoux,ITA Giulia Conti,POL Barbara Strzyżewska
,,,
2000,ITA Matteo Sangiorgi,,
,,,
2001,ESP Joaquín Blanco Albalat,,
,,,
2002,ESP Joaquín Blanco Albalat,
2002,ITA Alessandra Ferlich,CRO Tina Mihelic,ITA Maria Giovanna Sferez
,,,
2003,POL Piotr Radowski,CRO Stjepan Cesic,ESP Joaquin Blanco
2003,ITA Benitta Bonelli,CRO Tajana Ganic,ESP Maria Penate1
,,,
2004,POL Zemke Wojciech,SWE Nicklas Dackammar,GRE Alexis Katsios
2004,GRE Katerina Koutsougera,GRE Afrodite Kiranakou,GRE Ermina Batsi-Gerogakapoulou
,,,
2005,DEN Jes Lyhne Bonde,ESP Diego Botin L'Echever,GRE Akiklas Drougas
2005,SWE Emma Oljelund,ESP Elia Borrego Arnau,ITA Camilla Marino
,,,
2006,GRE Theofanis Kavvas,POL Tadeusz Kubiak,GRE Vassilis Papoutsoglou
2006,ESP Elia Borrego,POL Ewa Ilska,POL Sara Piasecka
,,,
2007,FRA Etienne Le Pen,ITA Leonardo Dubbini,CRO Juraj Divjakinja
2007,ESP Patricia Coro,SWE Julia Gross,ESP Sonia Arana
,,,
2008,ITA Matteo Bernard,ESP Xavier Antich V.,ESP Federico Burgos E.
2008,DEU Paulina Rothlauf,HUN Fanni Pech,POL Sara Piasecka
,,,
2009,DEU Maximilian Hibler,HUN Benjamin Vadnai,POL Filip Florek
2009,DEU Paulina Rothlauf,POL Sara Piasecka,ITA Francesca Cirillo Russo
,,,
2010,GRE Konstantinos Oikonomidis,GRE Grigorios Mazarakis,HUN Lorant Pech
2010,ITA Francesca Cirillo Russo,GRE Evangelia Drougka,ESP Paula Barcelo
,,,
2011,ESP Luis Cabrera,ITA Luigi Michelini,FRA Arthur Fortune
2011,ITA Francesca Bergamo,ESP Maria Caba,ESP Silvia Mas
,,,
2012,NED Stijn Paardekooper,ISR Maor Abu,AUT David Lucan
2012,ESP Maria Bover,ITA Francesca Bergamo,ITA Giulia Sarti
,,,
2013,SLO Turin Mara,ESP Colom Aina,NED Nissen Eefje
2013,POL Butowski Tytus,SLO Verderber Rok,ITA Luca Valentino
,,,
2014,FRA Enzo Balanger,SWE Kaspar Nordenrom,DEU Lennart Kuss
2014,ROU Ebru Bolat,ESP Iset Segura,SUI Martina Mueller
,,,
2015,GRE Aimilianos Monos,SLO Matej Planinsic,ITA Cesare Barabino
2015,ESP Julia Minana Delhom,GRE Ariadni Paraskevi Spanaki,MLT Victoria Schultheis
,,,
2016,DEU Mewes Wieduwild,MLT Richard Schultheis,ITA Peracca Paolo
2016,ITA Gaia Bergonzini,MLT Antonia Schultheis,GRE Melina Pappa
,,,
2017,SRB Stefan Yuill,POL Igor Kuczys,GRE Iakovos-Dimitrios Dedesntentopoulos
2017,GBR India Page-Wood,SUI Natascha Rast,AUT Johanna Schmidt
,,,
2018,ITA Alex Demurtas,ESP David Santacrue,ITA Lorenzo Pezzilli
2018,DEU Cosima Schlüter,NOR Mathilde Robertstad,DEU Anna Barth
,,,
2019,ITA Alessandro Cortese,GRE Dimitrios Bitros,ITA Lorenzo Pezzilli
2019,ITA Federica Contardi,ITA Lisa Vucetti,FRA Jeanne Larnicol
,,,
2020,THA Weka Bhanubandh,ITA Adriano Cardi Quan,AUT David Rhode
2020,ITA Rebecca Geiger,ITA Lisa Vucetti,POL Ewa Lewandowska
,,,
2022,GRE Iason Panagopoulos,ITA Artur Brighenti,ITA Andrea Tramontano
2022,ITA Emilia Salvatore,GER Clara Sigge,ITA Bianca Marchesini
,,,
2023,GRE Iason Panagopoulos,ESP Nikko Palou Espinar,ESP Mateo Carbonell Monte
2023,ITA Maria Luisa Silvestri,USA Anna Ulmer,ITA Gaia Zinali
